ticker,conditions,correction,exchange,id,participant_timestamp,price,sequence_number,sip_timestamp,size,tape,trf_id,trf_timestamp
MSFT,"12,37",,11,1,1679990400018025984,276.16,1550,1679990400018381329,55,3,,0
MSFT,12,,8,1,1679990400000110000,276.75,1556,1679990400034839796,100,3,,0
MSFT,"12,37",,8,2,1679990400000110000,276.75,1557,1679990400034849885,50,3,,0
MSFT,"12,37",,8,3,1679990400000110000,276.7,1558,1679990400034864884,5,3,,0
MSFT,"12,37",,8,4,1679990400000110000,276.7,1559,1679990400034869044,10,3,,0
MSFT,"12,37",,8,5,1679990400000110000,276.69,1560,1679990400034875659,1,3,,0
MSFT,"12,37",,8,6,1679990400000110000,276.69,1561,1679990400034882414,3,3,,0
MSFT,"12,37",,8,7,1679990400000110000,276.69,1562,1679990400034886593,40,3,,0
MSFT,"12,37",,8,8,1679990400000110000,276.64,1563,1679990400034893318,40,3,,0
MSFT,"12,37",,8,9,1679990400067336000,276.52,1582,1679990400067544813,27,3,,0
MSFT,"12,37",,8,10,1679990400067336000,276.4,1583,1679990400067551331,1,3,,0
MSFT,"12,37",,11,2,1679990400960948224,276.4,1602,1679990400961291074,10,3,,0
MSFT,"14,12,37,41",,11,3,1679990401914990080,276.39,1624,1679990401915338133,9,3,,0
MSFT,"14,12,37,41",,11,4,1679990401914990080,276.4,1625,1679990401915338288,26,3,,0
MSFT,"12,37",,8,11,1679990406886172000,276.19,1644,1679990406886411680,1,3,,0
MSFT,"12,37",,8,12,1679990406886172000,276,1645,1679990406886416688,22,3,,0
MSFT,"12,37",,8,13,1679990406886172000,276,1646,1679990406886423215,2,3,,0
MSFT,"12,37",,8,14,1679990409893151000,276,1657,1679990409893372769,9,3,,0
MSFT,"12,37",,8,15,1679990409893151000,275.87,1658,1679990409893379547,6,3,,0
MSFT,"12,37",,11,5,1679990409893336832,276,1659,1679990409893688695,1,3,,0
MSFT,"12,37",,11,6,1679990409893336832,276,1660,1679990409893688893,2,3,,0
MSFT,"12,37",,11,7,1679990409893336832,276,1661,1679990409893689159,5,3,,0
MSFT,"12,37",,11,8,1679990409893336832,276,1662,1679990409893689283,2,3,,0
MSFT,"14,12,37,41",,8,16,1679990415377693000,275.75,1686,1679990415377929693,20,3,,0
MSFT,"14,12,37,41",,8,17,1679990415377693000,275.61,1687,1679990415377939250,8,3,,0
MSFT,"14,12,37,41",,11,9,1679990415377785856,275.65,1688,1679990415378130051,1,3,,0
MSFT,"14,12,37,41",,11,10,1679990415377785856,275.65,1689,1679990415378130191,1,3,,0
MSFT,"12,37",,12,1,1679990417461934129,275.5,1694,1679990417461955240,20,3,,0
MSFT,"12,37",,12,2,1679990417461934129,275.46,1695,1679990417461957166,34,3,,0
MSFT,"12,37",,12,3,1679990417461934129,275.44,1696,1679990417461959771,18,3,,0
MSFT,"12,37",,12,4,1679990417461934129,275.42,1697,1679990417461961810,10,3,,0
MSFT,"12,37",,12,5,1679990417461934129,275.4,1698,1679990417461988963,18,3,,0
MSFT,"12,37",,11,11,1679990417461955584,275.6,1699,1679990417462302104,1,3,,0
MSFT,"12,37",,11,12,1679990417461955584,275.51,1700,1679990417462302185,20,3,,0
MSFT,"14,12,37,41",,12,6,1679990426946579977,276.1,1730,1679990426946596167,20,3,,0
MSFT,"14,12,37,41",,11,13,1679990426946626816,276.07,1731,1679990426946978528,34,3,,0
MSFT,"14,12,37,41",,11,14,1679990426946626816,276.16,1732,1679990426946978794,7,3,,0
MSFT,"14,12,37,41",,11,15,1679990426946626816,276.17,1733,1679990426946979066,19,3,,0
MSFT,"14,12,37,41",,11,16,1679990426946626816,276.22,1734,1679990426946979205,8,3,,0
MSFT,"12,37",,12,7,1679990430524098210,275.48,1740,1679990430524117840,50,3,,0
MSFT,"12,37",,12,8,1679990430524098210,275.48,1741,1679990430524119812,34,3,,0
MSFT,"12,37",,12,9,1679990430524098210,275.47,1742,1679990430524121683,7,3,,0
MSFT,"12,37",,12,10,1679990430524098210,275.46,1743,1679990430524124380,9,3,,0
MSFT,"12,37",,11,17,1679990430524120320,275.51,1744,1679990430524462505,21,3,,0
MSFT,"12,37",,12,11,1679990432264790379,275.46,1763,1679990432264807812,11,3,,0
MSFT,"12,37",,12,12,1679990432264790379,275.4,1764,1679990432264810403,1,3,,0
MSFT,"12,37",,12,13,1679990432264790379,275.38,1765,1679990432264813052,34,3,,0
MSFT,"12,37",,12,14,1679990432264790379,275.37,1766,1679990432264815047,54,3,,0
MSFT,"12,37",,11,18,1679990432264833536,275.48,1767,1679990432265175595,21,3,,0
MSFT,"12,37",,12,15,1679990434756134647,275.3,1795,1679990434756152186,6,3,,0
MSFT,"12,37",,12,16,1679990434756134647,275.29,1796,1679990434756153589,15,3,,0
MSFT,"12,37",,8,18,1679990434756341000,275.6,1797,1679990434756546324,30,3,,0
MSFT,"12,37",,11,19,1679990434756202752,275.48,1798,1679990434756550338,29,3,,0
MSFT,"12,37",,11,20,1679990434756202752,275.45,1799,1679990434756550708,60,3,,0
MSFT,"12,37",,11,21,1679990434756202752,275.44,1800,1679990434756550838,11,3,,0
MSFT,"12,37",,8,19,1679990434756341000,275.54,1801,1679990434756566755,10,3,,0
MSFT,"12,37",,8,20,1679990434756498000,275.48,1802,1679990434756697127,40,3,,0
MSFT,"12,37",,12,17,1679990437268575672,275.42,1814,1679990437268591331,21,3,,0
MSFT,"12,37",,11,22,1679990437268629504,275.44,1815,1679990437268974655,89,3,,0
MSFT,"12,37",,11,23,1679990437268629504,275.44,1816,1679990437268974780,11,3,,0
MSFT,"14,12,37,41",,8,21,1679990440827060000,275.44,1825,1679990440827283683,1,3,,0
MSFT,"12,37",,12,18,1679990441254756589,275.5,1829,1679990441254773497,10,3,,0
MSFT,"12,37",,12,19,1679990441254756589,275.5,1830,1679990441254776330,9,3,,0
MSFT,"12,37",,12,20,1679990441254756589,275.31,1831,1679990441254779140,1,3,,0
MSFT,"12,37",,11,24,1679990441254812672,275.44,1832,1679990441255160000,89,3,,0
MSFT,"12,37",,11,25,1679990441254812672,275.44,1833,1679990441255160199,12,3,,0
MSFT,"12,37",,12,21,1679990451609260060,275.31,1850,1679990451609276832,19,3,,0
MSFT,12,,12,22,1679990451609260060,275.25,1851,1679990451609279810,123,3,,0
MSFT,12,,11,26,1679990451609292288,275.52,1852,1679990451609634890,100,3,,0
MSFT,"12,37",,8,22,1679990451627102000,275.44,1855,1679990451627329480,17,3,,0
MSFT,"14,12,37,41",,12,23,1679990451815060207,275.5,1861,1679990451815075194,7,3,,0
